2024/07/15 13:46:06 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:46:05 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:44:42 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:44:41 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:44:40 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:44:39 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:42:58 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:42:57 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:42:56 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:42:55 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:42:54 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:41:25 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:41:24 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:41:23 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:39:00 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:38:59 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:38:58 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:38:57 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:38:57 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:33:36 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:34 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:32 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:31 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:30 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:28 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:27 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:26 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:33:25 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:58 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:49 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:48 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:37 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:33 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:33 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:30 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:27 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:25 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:24 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:23 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:22 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:21 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
2024/07/15 13:32:20 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /api_get_tests
